date,region,candidate,party,offyear,runoff,voteshare,candidatevotes,totalvotes
05/11/2025,Dalminica,KiwiFox,labour,FALSE,FALSE,9.09,1,11
05/11/2025,Dalminica,SunwardH,progressive,FALSE,TRUE,54.55,6,11
05/11/2025,Dalminica,Copperhead,alliance,FALSE,TRUE,45.45,5,11
05/11/2025,Trunoe,Ash,progressive,FALSE,FALSE,50,6,12
05/11/2025,Trunoe,BugsBunny,alliance,FALSE,FALSE,33.33,4,12
05/11/2025,Trunoe,Van der Plan,labour,FALSE,FALSE,8.33,1,12
05/11/2025,Trunoe,Perot,labour,FALSE,FALSE,8.33,1,12
05/11/2025,Trunoe,Ash,progressive,FALSE,TRUE,58.33,7,12
05/11/2025,Trunoe,BugsBunny,alliance,FALSE,TRUE,41.67,5,12
05/11/2025,Garvor,Strxya,progressive,FALSE,FALSE,100,13,13
05/11/2025,Dentone,BlockyBeach,alliance,FALSE,FALSE,75,6,8
05/11/2025,Dentone,Joris,progressive,FALSE,FALSE,25,2,8
05/11/2025,Alvana,Potato,labour,FALSE,FALSE,58.33,7,12
05/11/2025,Alvana,Qwert,progressive,FALSE,FALSE,41.67,5,12
05/11/2025,Quintin,Republic Guy,progressive,FALSE,FALSE,69.23,9,13
05/11/2025,Quintin,Luka Gillman,alliance,FALSE,FALSE,30.77,4,13
05/11/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,21.88,,
05/11/2025,National Popular Vote,Labour,labour,FALSE,FALSE,22.92,,
05/11/2025,National Popular Vote,Liberal,liberal,FALSE,FALSE,22.92,,
05/11/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,32.29,,
05/11/2025,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
05/11/2025,List Seat 2,Copperhead,alliance,FALSE,FALSE,100,,
05/11/2025,List Seat 3,Griffth Hyde,alliance,FALSE,FALSE,100,,
05/11/2025,List Seat 4,Suom,liberal,FALSE,FALSE,100,,
05/11/2025,List Seat 5,Ari,liberal,FALSE,FALSE,100,,
05/11/2025,List Seat 6,Charlemagne,liberal,FALSE,FALSE,100,,
05/11/2025,List Seat 7,ColdAdam,liberal,FALSE,FALSE,100,,
05/11/2025,List Seat 8,Dannyunown0,labour,FALSE,FALSE,100,,
05/11/2025,List Seat 9,Ok,labour,FALSE,FALSE,100,,
6/15/2025,Coalition,labour,labourcon,FALSE,FALSE,0,,
6/15/2025,Coalition,alliance,labourcon,FALSE,FALSE,0,,
6/15/2025,Coalition,Cob,labourcon,FALSE,FALSE,0,,
6/15/2025,Brunix Islands,Geodore,alliance,FALSE,FALSE,42.86,6,14
6/15/2025,Brunix Islands,Charlemagne,liberal,FALSE,FALSE,21.43,3,14
6/15/2025,Brunix Islands,Kanbo,alliance,FALSE,FALSE,14.29,2,14
6/15/2025,Brunix Islands,Bernie Sanders,progressive,FALSE,FALSE,14.29,2,14
6/15/2025,Brunix Islands,Doc,liberal,FALSE,FALSE,7.14,1,14
6/15/2025,Brunix Islands,Geodore,alliance,FALSE,TRUE,57.14,8,14
6/15/2025,Brunix Islands,Charlemagne,liberal,FALSE,TRUE,42.86,6,14
6/15/2025,Emix,Cob,independent,FALSE,FALSE,66.67,8,12
6/15/2025,Emix,Javer,labour,FALSE,FALSE,25,3,12
6/15/2025,Emix,m0l3_m4n,labour,FALSE,FALSE,8.33,1,12
6/15/2025,Dalminica,SunwardH,progressive,FALSE,FALSE,46.15,6,13
6/15/2025,Dalminica,Cruzer,alliance,FALSE,FALSE,30.77,4,13
6/15/2025,Dalminica,GMV,liberal,FALSE,FALSE,23.08,3,13
6/15/2025,Dalminica,SunwardH,progressive,FALSE,TRUE,61.54,8,13
6/15/2025,Dalminica,Cruzer,alliance,FALSE,TRUE,38.46,5,13
6/15/2025,Trunoe,Growmper,progressive,FALSE,FALSE,71.43,5,7
6/15/2025,Trunoe,Heatland,labour,FALSE,FALSE,28.57,2,7
6/15/2025,Garvor,Strxya,progressive,FALSE,FALSE,76.92,10,13
6/15/2025,Garvor,athabasca,labour,FALSE,FALSE,23.08,3,13
6/15/2025,Dentone,BlockyBeach,alliance,FALSE,FALSE,71.43,10,14
6/15/2025,Dentone,Joris,progressive,FALSE,FALSE,28.57,4,14
6/15/2025,Alvana,Qwert,progressive,FALSE,FALSE,58.33,7,12
6/15/2025,Alvana,Dannyunown0,labour,FALSE,FALSE,41.67,5,12
6/15/2025,Quintin,Republic Guy,progressive,FALSE,FALSE,57.14,8,14
6/15/2025,Quintin,How do i type,alliance,FALSE,FALSE,28.57,4,14
6/15/2025,Quintin,snilfa,labour,FALSE,FALSE,14.29,2,14
6/15/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,21.88,,
6/15/2025,National Popular Vote,Labour,labour,FALSE,FALSE,22.92,,
6/15/2025,National Popular Vote,Liberal,liberal,FALSE,FALSE,22.92,,
6/15/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,32.29,,
6/15/2025,List Seat 1,Chudda,alliance,FALSE,FALSE,100,,
6/15/2025,List Seat 2,Kanbo,alliance,FALSE,FALSE,100,,
6/15/2025,List Seat 3,Luka Gillman,alliance,FALSE,FALSE,100,,
6/15/2025,List Seat 4,TBS387,alliance,FALSE,FALSE,100,,
6/15/2025,List Seat 5,Copperhead,alliance,FALSE,FALSE,100,,
6/15/2025,List Seat 6,GMV,liberal,FALSE,FALSE,100,,
6/15/2025,List Seat 7,Suom,liberal,FALSE,FALSE,100,,
6/15/2025,List Seat 8,Charlemagne,liberal,FALSE,FALSE,100,,
6/15/2025,List Seat 9,Alex,liberal,FALSE,FALSE,100,,
6/15/2025,List Seat 10,Dannyunown0,labour,FALSE,FALSE,100,,
6/15/2025,List Seat 11,Javer,labour,FALSE,FALSE,100,,
6/15/2025,List Seat 12,Potato,labour,FALSE,FALSE,100,,
6/15/2025,List Seat 13,bfdifann,labour,FALSE,FALSE,100,,
6/18/2025,Coalition,labour,labourcon,FALSE,FALSE,0,,
6/18/2025,Coalition,alliance,labourcon,FALSE,FALSE,0,,
6/18/2025,Coalition,Cob,labourcon,FALSE,FALSE,0,,
6/18/2025,Garvor,Alex,liberal,TRUE,FALSE,60,6,10
6/18/2025,Garvor,athabasca,labour,TRUE,FALSE,30,3,10
6/18/2025,Garvor,ColdAdam,liberal,TRUE,FALSE,10,1,10
07/09/2025,Coalition,labour,labourcon,FALSE,FALSE,0,,
07/09/2025,Coalition,alliance,labourcon,FALSE,FALSE,0,,
07/09/2025,Coalition,Cob,labourcon,FALSE,FALSE,0,,
07/09/2025,Trunoe,TBS387,alliance,TRUE,FALSE,50,5,10
07/09/2025,Trunoe,Growmper,progressive,TRUE,FALSE,30,3,10
07/09/2025,Trunoe,Van der Plan,labour,TRUE,FALSE,20,2,10
07/09/2025,Trunoe,TBS387,alliance,TRUE,TRUE,60,6,10
07/09/2025,Trunoe,Growmper,progressive,TRUE,TRUE,40,4,10
7/20/2025,Coalition,labour,watermelon,FALSE,FALSE,0,,
7/20/2025,Coalition,progressive,watermelon,FALSE,FALSE,0,,
7/20/2025,Coalition,Cob,watermelon,FALSE,FALSE,0,,
7/20/2025,Coalition,Nath,watermelon,FALSE,FALSE,0,,
7/20/2025,Brunix Islands,Geodore,alliance,FALSE,FALSE,64.29,9,14
7/20/2025,Brunix Islands,Bernie Sanders,progressive,FALSE,FALSE,28.57,4,14
7/20/2025,Brunix Islands,Kanbo,alliance,FALSE,FALSE,7.14,1,14
7/20/2025,Emix,Cob,independent,FALSE,FALSE,64.71,11,17
7/20/2025,Emix,Javer,labour,FALSE,FALSE,35.29,6,17
7/20/2025,Dalminica,Copperhead,alliance,FALSE,FALSE,29.41,5,17
7/20/2025,Dalminica,SunwardH,progressive,FALSE,FALSE,29.41,5,17
7/20/2025,Dalminica,GMV,labour,FALSE,FALSE,23.53,4,17
7/20/2025,Dalminica,KiwiFox,alliance,FALSE,FALSE,17.65,3,17
7/20/2025,Dalminica,Copperhead,alliance,FALSE,TRUE,58.82,10,17
7/20/2025,Dalminica,SunwardH,progressive,FALSE,TRUE,41.18,7,17
7/20/2025,Trunoe,Van der Plan,labour,FALSE,FALSE,56.25,9,16
7/20/2025,Trunoe,TBS387,alliance,FALSE,FALSE,43.75,7,16
7/20/2025,Garvor,Nath,independent,FALSE,FALSE,53.85,7,13
7/20/2025,Garvor,athabasca,labour,FALSE,FALSE,46.15,6,13
7/20/2025,Dentone,BlockyBeach,alliance,FALSE,FALSE,66.67,8,12
7/20/2025,Dentone,Joris,progressive,FALSE,FALSE,16.67,2,12
7/20/2025,Dentone,RealCountyCreator,progressive,FALSE,FALSE,16.67,2,12
7/20/2025,Alvana,Dannyunown0,labour,FALSE,FALSE,27.78,5,18
7/20/2025,Alvana,Poopman69,alliance,FALSE,FALSE,33.33,6,18
7/20/2025,Alvana,Potato,labour,FALSE,FALSE,22.22,5,18
7/20/2025,Alvana,Tim Inkle,independent,FALSE,FALSE,16.67,3,18
7/20/2025,Alvana,Dannyunown0,labour,FALSE,TRUE,50.001,9,18
7/20/2025,Alvana,Poopman69,alliance,FALSE,TRUE,50,9,18
7/20/2025,Quintin,Gatorapolis,labour,FALSE,FALSE,36.36,8,22
7/20/2025,Quintin,Republic Guy,progressive,FALSE,FALSE,36.36,8,22
7/20/2025,Quintin,Luka Gillman,alliance,FALSE,FALSE,27.27,6,22
7/20/2025,Quintin,Gatorapolis,labour,FALSE,TRUE,57.14,12,21
7/20/2025,Quintin,Republic Guy,progressive,FALSE,TRUE,42.86,9,21
7/20/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,21.37,,
7/20/2025,National Popular Vote,Labour,labour,FALSE,FALSE,34.35,,
7/20/2025,National Popular Vote,Liberal,liberal,FALSE,FALSE,9.16,,
7/20/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,35.11,,
7/20/2025,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
7/20/2025,List Seat 2,Cruzer,alliance,FALSE,FALSE,100,,
7/20/2025,List Seat 3,Poopman69,alliance,FALSE,FALSE,100,,
7/20/2025,List Seat 4,TBS387,alliance,FALSE,FALSE,100,,
7/20/2025,List Seat 5,Alex,liberal,FALSE,FALSE,100,,
7/20/2025,List Seat 6,Potato,labour,FALSE,FALSE,100,,
7/20/2025,List Seat 7,Javer,labour,FALSE,FALSE,100,,
7/20/2025,List Seat 8,GMV,labour,FALSE,FALSE,100,,
7/20/2025,List Seat 9,Qwert,progressive,FALSE,FALSE,100,,
7/20/2025,List Seat 10,Republic Guy,progressive,FALSE,FALSE,100,,
7/20/2025,List Seat 11,AM,progressive,FALSE,FALSE,100,,
7/20/2025,List Seat 12,Growmper,progressive,FALSE,FALSE,100,,
08/03/2025,Coalition,labour,labourcon,FALSE,FALSE,0,,
08/03/2025,Coalition,alliance,labourcon,FALSE,FALSE,0,,
08/03/2025,Brunix Islands,Geodore,alliance,FALSE,FALSE,38.46,5,13
08/03/2025,Brunix Islands,Bernie Sanders,progressive,FALSE,FALSE,38.36,5,13
08/03/2025,Brunix Islands,Kanbo,alliance,FALSE,FALSE,23.08,3,13
08/03/2025,Brunix Islands,Geodore,alliance,FALSE,TRUE,58.33,7,12
08/03/2025,Brunix Islands,Bernie Sanders,progressive,FALSE,TRUE,41.67,5,12
08/03/2025,Emix,Cob,independent,FALSE,FALSE,53.33,8,15
08/03/2025,Emix,Javer,labour,FALSE,FALSE,46.67,7,15
08/03/2025,Dalminica,Copperhead,alliance,FALSE,FALSE,21.43,3,14
08/03/2025,Dalminica,SunwardH,progressive,FALSE,FALSE,35.71,5,14
08/03/2025,Dalminica,Cruzer,alliance,FALSE,FALSE,28.57,4,14
08/03/2025,Dalminica,bfdifann,progressive,FALSE,FALSE,7.14,1,14
08/03/2025,Dalminica,KiwiFox,alliance,FALSE,FALSE,7.14,1,14
08/03/2025,Dalminica,Copperhead,alliance,FALSE,TRUE,57.14,8,14
08/03/2025,Dalminica,SunwardH,progressive,FALSE,TRUE,42.86,6,14
08/03/2025,Trunoe,Heatland,labour,FALSE,FALSE,53.85,7,13
08/03/2025,Trunoe,Van der Plan,alliance,FALSE,FALSE,46.15,6,13
08/03/2025,Garvor,athabasca,labour,FALSE,FALSE,61.54,8,13
08/03/2025,Garvor,Alex,liberal,FALSE,FALSE,38.46,5,13
08/03/2025,Dentone,BlockyBeach,alliance,FALSE,FALSE,70,7,10
08/03/2025,Dentone,RealCountyCreator,progressive,FALSE,FALSE,30,3,10
08/03/2025,Alvana,Poopman69,alliance,FALSE,FALSE,31.25,5,16
08/03/2025,Alvana,Qwert,progressive,FALSE,FALSE,31.25,5,16
08/03/2025,Alvana,Potato,liberal,FALSE,FALSE,25,4,16
08/03/2025,Alvana,Dannyunown0,labour,FALSE,FALSE,12.5,2,16
08/03/2025,Alvana,Poopman69,alliance,FALSE,TRUE,57.14,8,14
08/03/2025,Alvana,Qwert,progressive,FALSE,TRUE,42.86,6,14
08/03/2025,Quintin,Republic Guy,progressive,FALSE,FALSE,23.81,5,20
08/03/2025,Quintin,Sonia Gandhi,labour,FALSE,FALSE,28.57,6,20
08/03/2025,Quintin,Seth,progressive,FALSE,FALSE,19.05,4,20
08/03/2025,Quintin,Luka Gillman,alliance,FALSE,FALSE,19.05,3,20
08/03/2025,Quintin,Gatorapolis,labour,FALSE,FALSE,4.76,1,20
08/03/2025,Quintin,spccenterville,alliance,FALSE,FALSE,4.76,1,20
08/03/2025,Quintin,Republic Guy,progressive,FALSE,TRUE,56.25,9,16
08/03/2025,Quintin,Sonia Gandhi,labour,FALSE,TRUE,43.75,7,16
08/03/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,29.82,,
08/03/2025,National Popular Vote,Labour,labour,FALSE,FALSE,28.07,,
08/03/2025,National Popular Vote,Liberal,liberal,FALSE,FALSE,10.53,,
08/03/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,31.58,,
08/03/2025,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
08/03/2025,List Seat 2,Cruzer,alliance,FALSE,FALSE,100,,
08/03/2025,List Seat 3,Nath,liberal,FALSE,FALSE,100,,
08/03/2025,List Seat 4,Suom,liberal,FALSE,FALSE,100,,
08/03/2025,List Seat 5,Javer,labour,FALSE,FALSE,100,,
08/03/2025,List Seat 6,Sonia Gandhi,labour,FALSE,FALSE,100,,
08/03/2025,List Seat 7,Dannyunown0,labour,FALSE,FALSE,100,,
08/03/2025,List Seat 8,GMV,progressive,FALSE,FALSE,100,,
08/03/2025,List Seat 9,Bernie Sanders,progressive,FALSE,FALSE,100,,
08/03/2025,List Seat 10,Qwert,progressive,FALSE,FALSE,100,,
08/03/2025,List Seat 11,SunwardH,progressive,FALSE,FALSE,100,,
08/03/2025,List Seat 12,June_3rd,progressive,FALSE,FALSE,100,,
8/23/2025,Emix,Cob,liberal,TRUE,FALSE,33.34,,
8/23/2025,Emix,Javer,labour,TRUE,FALSE,33.32,,
8/23/2025,Emix,Lee,liberal,TRUE,FALSE,25,,
8/23/2025,Emix,Danlyo,labour,TRUE,FALSE,8.33,,
8/23/2025,Emix,Treptichnus,progressive,TRUE,FALSE,0,,
8/23/2025,Emix,Cob,liberal,TRUE,TRUE,54.55,,
8/23/2025,Emix,Javer,labour,TRUE,TRUE,45.45,,
09/06/2025,Coalition,alliance,peacock,FALSE,FALSE,0,,
09/06/2025,Coalition,progressive,peacock,FALSE,FALSE,0,,
09/06/2025,Alvana,Poopman69,alliance,FALSE,FALSE,21.05,4,19
09/06/2025,Alvana,Potato,labour,FALSE,FALSE,52.63,10,19
09/06/2025,Alvana,Qwert,progressive,FALSE,FALSE,26.32,5,19
09/06/2025,Brunix Islands,Bernie,progressive,FALSE,FALSE,28.57,4,14
09/06/2025,Brunix Islands,Geodore,alliance,FALSE,FALSE,57.14,8,14
09/06/2025,Brunix Islands,Charlemagne,independent,FALSE,FALSE,7.14,1,14
09/06/2025,Brunix Islands,Bart De Wever,progressive,FALSE,FALSE,7.14,1,14
09/06/2025,Dalminica,Cruzer,alliance,FALSE,FALSE,37.5,6,16
09/06/2025,Dalminica,GMV,progressive,FALSE,FALSE,50,8,16
09/06/2025,Dalminica,SunwardH,progressive,FALSE,FALSE,12.5,2,16
09/06/2025,Dalminica,Cruzer,alliance,FALSE,TRUE,37.5,6,16
09/06/2025,Dalminica,GMV,progressive,FALSE,TRUE,62.5,10,16
09/06/2025,Dentone,Chillicote,labour,FALSE,FALSE,41.67,5,12
09/06/2025,Dentone,Joris,progressive,FALSE,FALSE,58.33,7,12
09/06/2025,Emix,Javer,labour,FALSE,FALSE,30,6,20
09/06/2025,Emix,Treptichnus Pedum,progressive,FALSE,FALSE,70,14,20
09/06/2025,Garvor,athabasca,labour,FALSE,FALSE,45,9,20
09/06/2025,Garvor,Border,alliance,FALSE,FALSE,15,3,20
09/06/2025,Garvor,Strxya,progressive,FALSE,FALSE,40,8,20
09/06/2025,Garvor,athabasca,labour,FALSE,TRUE,57.89,11,19
09/06/2025,Garvor,Strxya,progressive,FALSE,TRUE,42.11,8,19
09/06/2025,Quintin,Sonia Gandhi,labour,FALSE,FALSE,43.48,10,23
09/06/2025,Quintin,Seth,progressive,FALSE,FALSE,8.7,2,23
09/06/2025,Quintin,Beary,progressive,FALSE,FALSE,47.83,11,23
09/06/2025,Quintin,Sonia Gandhi,labour,FALSE,TRUE,43.48,10,23
09/06/2025,Quintin,Beary,progressive,FALSE,TRUE,56.52,13,23
09/06/2025,Trunoe,TBS387,alliance,FALSE,FALSE,27.27,6,22
09/06/2025,Trunoe,Van der Plan,labour,FALSE,FALSE,72.73,16,22
09/06/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,29.93,,
09/06/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,32.65,,
09/06/2025,National Popular Vote,Labour,labour,FALSE,FALSE,37.41,,
09/06/2025,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
09/06/2025,List Seat 2,Cruzer,alliance,FALSE,FALSE,100,,
09/06/2025,List Seat 3,Alex,alliance,FALSE,FALSE,100,,
09/06/2025,List Seat 4,Griffth Hyde,alliance,FALSE,FALSE,100,,
09/06/2025,List Seat 5,British_Guy,alliance,FALSE,FALSE,100,,
09/06/2025,List Seat 6,Sonia Gandhi,labour,FALSE,FALSE,100,,
09/06/2025,List Seat 7,Javer,labour,FALSE,FALSE,100,,
09/06/2025,List Seat 8,Dannyunown0,labour,FALSE,FALSE,100,,
09/06/2025,List Seat 9,KiwiFox,labour,FALSE,FALSE,100,,
09/06/2025,List Seat 10,Chillicote,labour,FALSE,FALSE,100,,
09/06/2025,List Seat 11,Strxya,progressive,FALSE,FALSE,100,,
09/06/2025,List Seat 12,SunwardH,progressive,FALSE,FALSE,100,,
10/11/2025,Coalition,labour,burger,FALSE,FALSE,0,,
10/11/2025,Coalition,progressive,burger,FALSE,FALSE,0,,
10/11/2025,Coalition,renewal,burger,FALSE,FALSE,0,,
10/11/2025,Coalition,Medikit,burger,FALSE,FALSE,0,,
10/11/2025,Alvana,Potato,renewal,FALSE,FALSE,50.001,8,16
10/11/2025,Alvana,Dannyunown0,labour,FALSE,FALSE,50,8,16
10/11/2025,Brunix Islands,Geodore Roosevelt,alliance,FALSE,FALSE,90.91,10,11
10/11/2025,Brunix Islands,Goop,alliance,FALSE,FALSE,9.09,1,11
10/11/2025,Dalminica,British_Guy,alliance,FALSE,FALSE,14.29,2,14
10/11/2025,Dalminica,SunwardH,progressive,FALSE,FALSE,28.57,4,14
10/11/2025,Dalminica,Okazaki Fox,labour,FALSE,FALSE,57.14,8,14
10/11/2025,Dentone,Moka Kofee,progressive,FALSE,FALSE,41.18,7,17
10/11/2025,Dentone,How Do I Type,alliance,FALSE,FALSE,58.82,10,17
10/11/2025,Emix,Purrium,renewal,FALSE,FALSE,66.67,12,18
10/11/2025,Emix,Virtecek,renewal,FALSE,FALSE,33.33,6,18
10/11/2025,Garvor,Strxya,progressive,FALSE,FALSE,50,10,20
10/11/2025,Garvor,IAMVERYSWELL,labour,FALSE,FALSE,40,8,20
10/11/2025,Garvor,athabasca,renewal,FALSE,FALSE,10,2,20
10/11/2025,Garvor,Strxya,progressive,FALSE,TRUE,55,11,20
10/11/2025,Garvor,IAMVERYSWELL,labour,FALSE,TRUE,45,9,20
10/11/2025,Kilden,Cob,independent,FALSE,FALSE,66.67,8,12
10/11/2025,Kilden,bfdifann,progressive,FALSE,FALSE,33.33,4,12
10/11/2025,Newmasi,Griffith Hyde,alliance,FALSE,FALSE,58.33,7,12
10/11/2025,Newmasi,GMV,progressive,FALSE,FALSE,41.67,5,12
10/11/2025,Quintin,Sonia Gandhi,labour,FALSE,FALSE,42.86,6,14
10/11/2025,Quintin,Beary,progressive,FALSE,FALSE,35.71,5,14
10/11/2025,Quintin,Seth,progressive,FALSE,FALSE,21.43,3,14
10/11/2025,Quintin,Sonia Gandhi,labour,FALSE,TRUE,42.86,6,14
10/11/2025,Quintin,Beary,progressive,FALSE,TRUE,57.14,8,14
10/11/2025,Trunoe,Van der Plan,labour,FALSE,FALSE,50,8,16
10/11/2025,Trunoe,Medikit,independent,FALSE,FALSE,50.001,8,16
10/11/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,27.52,,
10/11/2025,National Popular Vote,Labour,labour,FALSE,FALSE,35.57,,
10/11/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,26.85,,
10/11/2025,National Popular Vote,Renewal,renewal,FALSE,FALSE,10.07,,
10/11/2025,List Seat 1,Cruzer,alliance,FALSE,FALSE,100,,
10/11/2025,List Seat 2,Nath,alliance,FALSE,FALSE,100,,
10/11/2025,List Seat 3,Alex,alliance,FALSE,FALSE,100,,
10/11/2025,List Seat 4,Sonia Gandhi,labour,FALSE,FALSE,100,,
10/11/2025,List Seat 5,Javer,labour,FALSE,FALSE,100,,
10/11/2025,List Seat 6,Van der Plan,labour,FALSE,FALSE,100,,
10/11/2025,List Seat 7,Dannyunown0,labour,FALSE,FALSE,100,,
10/11/2025,List Seat 8,Chillicote,labour,FALSE,FALSE,100,,
10/11/2025,List Seat 9,Flor,labour,FALSE,FALSE,100,,
10/11/2025,List Seat 10,GMV,progressive,FALSE,FALSE,100,,
10/11/2025,List Seat 11,SunwardH,progressive,FALSE,FALSE,100,,
10/11/2025,List Seat 12,Joris,progressive,FALSE,FALSE,100,,
11/16/2025,Coalition,labour,united left,FALSE,FALSE,0,,
11/16/2025,Coalition,progressive,united left,FALSE,FALSE,0,,
11/16/2025,Coalition,pwp,united left,FALSE,FALSE,0,,
11/16/2025,Alvana,Poopman69,alliance,FALSE,FALSE,29.56,106734,360020
11/16/2025,Alvana,Dannyunown0,labour,FALSE,FALSE,35.35,127285,360020
11/16/2025,Alvana,UpliftedFord,progressive,FALSE,FALSE,25.82,92944,360020
11/16/2025,Alvana,BobLaFollette,pwp,FALSE,FALSE,9.18,33037,360020
11/16/2025,Alvana,Donald Jehovaha Trump,independent,FALSE,FALSE,0.01,20,360020
11/16/2025,Alvana,Poopman69,alliance,FALSE,TRUE,51.46,179387,348574
11/16/2025,Alvana,Dannyunown0,labour,FALSE,TRUE,48.54,169187,348574
11/16/2025,Brunix Islands,Geodore Roosevelt,alliance,FALSE,FALSE,44.48,160119,360000
11/16/2025,Brunix Islands,Bernie Sanders,progressive,FALSE,FALSE,41.08,51986,360000
11/16/2025,Brunix Islands,Charlemagne,independent,FALSE,FALSE,14.44,147895,360000
11/16/2025,Brunix Islands,Geodore Roosevelt,alliance,FALSE,TRUE,51.57,178672,346483
11/16/2025,Brunix Islands,Bernie Sanders,progressive,FALSE,TRUE,48.43,167811,346483
11/16/2025,Dalminica,SunwardH,progressive,FALSE,FALSE,52.16,187769,360000
11/16/2025,Dalminica,Okazaki Fox,labour,FALSE,FALSE,47.84,172231,360000
11/16/2025,Dentone,Joris,progressive,FALSE,FALSE,28.52,102658,360000
11/16/2025,Dentone,How Do I Type,alliance,FALSE,FALSE,71.48,257342,360000
11/16/2025,Emix,Javer,labour,FALSE,FALSE,100,360000,360000
11/16/2025,Garvor,Strxya,progressive,FALSE,FALSE,53.14,191320,360000
11/16/2025,Garvor,IAMVERYSWELL,labour,FALSE,FALSE,35.7,128526,360000
11/16/2025,Garvor,Truman Gaming,renewal,FALSE,FALSE,11.5,40154,360000
11/16/2025,Kilden,Cob,independent,FALSE,FALSE,67.45,241629,358249
11/16/2025,Kilden,Earthseeker,pwp,FALSE,FALSE,17.27,54745,358249
11/16/2025,Kilden,Lee,renewal,FALSE,FALSE,15.28,61875,358249
11/16/2025,Newmasi,Mokaeo,labour,FALSE,FALSE,29.49,106172,360001
11/16/2025,Newmasi,Griffith Hyde,alliance,FALSE,FALSE,27.55,99163,360001
11/16/2025,Newmasi,Aston,progressive,FALSE,FALSE,24.78,89196,360001
11/16/2025,Newmasi,JAMden,pwp,FALSE,FALSE,9.54,34341,360001
11/16/2025,Newmasi,Eric Davidson,independent,FALSE,FALSE,8.65,31129,360001
11/16/2025,Newmasi,Mokaeo,labour,FALSE,TRUE,59.59,206083,345827
11/16/2025,Newmasi,Griffith Hyde,alliance,FALSE,TRUE,40.41,139744,345827
11/16/2025,Quintin,Sonia Gandhi,labour,FALSE,FALSE,47.74,171873,360000
11/16/2025,Quintin,Beary,progressive,FALSE,FALSE,33.84,121826,360000
11/16/2025,Quintin,Microplastics Lover,pwp,FALSE,FALSE,18.42,66301,360000
11/16/2025,Quintin,Sonia Gandhi,labour,FALSE,TRUE,60.4,216834,359006
11/16/2025,Quintin,Beary,progressive,FALSE,TRUE,39.6,142172,359006
11/16/2025,Trunoe,Medikit,pwp,FALSE,FALSE,30.44,109588,360015
11/16/2025,Trunoe,Eden,alliance,FALSE,FALSE,30.78,110796,360015
11/16/2025,Trunoe,Van der Plan,labour,FALSE,FALSE,17.35,62452,360015
11/16/2025,Trunoe,Forsh,renewal,FALSE,FALSE,16.93,60935,360015
11/16/2025,Trunoe,Borger,independent,FALSE,FALSE,4.51,16229,360015
11/16/2025,Trunoe,Heatland,renewal,FALSE,FALSE,0.01,15,360015
11/16/2025,Trunoe,Medikit,pwp,FALSE,TRUE,55.85,177278,317426
11/16/2025,Trunoe,Eden,alliance,FALSE,TRUE,44.15,140148,317426
11/16/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,32.56,,
11/16/2025,National Popular Vote,Labour,labour,FALSE,FALSE,29.68,,
11/16/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,24.76,,
11/16/2025,National Popular Vote,PWP,pwp,FALSE,FALSE,6.91,,
11/16/2025,National Popular Vote,Renewal,renewal,FALSE,FALSE,6.09,,
11/16/2025,List Seat 1,Cruzer,alliance,FALSE,FALSE,100,,
11/16/2025,List Seat 2,Griffith Hyde,alliance,FALSE,FALSE,100,,
11/16/2025,List Seat 3,Eden,alliance,FALSE,FALSE,100,,
11/16/2025,List Seat 4,Odin,alliance,FALSE,FALSE,100,,
11/16/2025,List Seat 5,Okazaki Fox,labour,FALSE,FALSE,100,,
11/16/2025,List Seat 6,Dannyunown0,labour,FALSE,FALSE,100,,
11/16/2025,List Seat 7,Van der Plan,labour,FALSE,FALSE,100,,
11/16/2025,List Seat 8,Danylo Isaacson-Lebid',labour,FALSE,FALSE,100,,
11/16/2025,List Seat 9,Beary,progressive,FALSE,FALSE,100,,
11/16/2025,List Seat 10,GMV,progressive,FALSE,FALSE,100,,
11/16/2025,List Seat 11,Bernie Sanders,progressive,FALSE,FALSE,100,,
11/16/2025,List Seat 12,Nivenoakes,progressive,FALSE,FALSE,100,,
11/28/2025,Kilden,Lee,renewal,TRUE,FALSE,51.71,,
11/28/2025,Kilden,EarthSeeker,pwp,TRUE,FALSE,28.39,,
11/28/2025,Kilden,WizardBlue,alliance,TRUE,FALSE,19.9,,
