date,round,region,candidate,party,voteshare,candidatevotes,totalvotes
09/06/2025,4,Trunoe,Javer,labour,41.18,,
09/06/2025,4,National Popular Vote,Poopman69,alliance,59.5,,
09/06/2025,4,National Popular Vote,Javer,labour,40.5,,
11/15/2025,1,Garvor,Van der Plan,labour,31.51,113244,359410
11/15/2025,1,Garvor,Strxya,progressive,30.96,111274,359410
11/15/2025,1,Garvor,Nath,alliance,26.63,95718,359410
11/15/2025,1,Garvor,Tommy,independent,3.75,13470,359410
11/15/2025,1,Garvor,Forsh,independent,2.74,9837,359410
11/15/2025,1,Garvor,Goop,independent,2.27,8175,359410
11/15/2025,1,Garvor,Donald Jehovaha Trump,independent,2.14,7692,359410
11/15/2025,1,Kilden,Van der Plan,labour,25.56,91860,359410
11/15/2025,1,Kilden,Strxya,progressive,17.87,64243,359410
11/15/2025,1,Kilden,Nath,alliance,30.66,110195,359410
11/15/2025,1,Kilden,Tommy,independent,12.33,44309,359410
11/15/2025,1,Kilden,Forsh,independent,9.16,32916,359410
11/15/2025,1,Kilden,Goop,independent,4.42,15868,359410
11/15/2025,1,Kilden,Donald Jehovaha Trump,independent,0.01,19,359410
11/15/2025,1,Brunix Islands,Van der Plan,labour,17.5,62905,359382
11/15/2025,1,Brunix Islands,Strxya,progressive,28.46,102295,359382
11/15/2025,1,Brunix Islands,Nath,alliance,33.07,118851,359382
11/15/2025,1,Brunix Islands,Tommy,independent,13.66,49075,359382
11/15/2025,1,Brunix Islands,Forsh,independent,0.61,2207,359382
11/15/2025,1,Brunix Islands,Goop,independent,6.69,24026,359382
11/15/2025,1,Brunix Islands,Donald Jehovaha Trump,independent,0.01,23,359382
11/15/2025,1,Emix,Van der Plan,labour,37.01,133020,359412
11/15/2025,1,Emix,Strxya,progressive,25.32,90987,359412
11/15/2025,1,Emix,Nath,alliance,17.58,63175,359412
11/15/2025,1,Emix,Tommy,independent,13.16,47308,359412
11/15/2025,1,Emix,Forsh,independent,3.7,13302,359412
11/15/2025,1,Emix,Goop,independent,3.23,11604,359412
11/15/2025,1,Emix,Donald Jehovaha Trump,independent,0.01,16,359412
